ID_epistem,name_epist,class_id,class_name,latitude,longitude,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,water_horizontal_spreading,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
20,Settlement,20,Settlement,-3.3966578,104.577063,0,5,0,0,0,0,0.9519,1,0,0,0,0,0,23,1,14,0,0,0,0,,,
20,Settlement,20,Settlement,-3.394075981,104.5794977,0,11,0,0,0,0,0.9483,1,0,0,0,0,0,23,1,18,0,0,0,0,,,
20,Settlement,20,Settlement,-3.396078117,104.5774242,0,13,0,0,0,0,0.9284,1,0,0,0,0,0,23,1,12,0,0,0,0,,,
20,Settlement,20,Settlement,-3.396733605,104.5764789,0,9,0,0,0,0,0.9204,1,0,0,0,0,0,23,1,17,0,0,0,0,,,
20,Settlement,20,Settlement,-3.541641012,104.4697503,0,12,0,0,0,0,0.9326,1,0,0,0,0,0,13,1,17,0,0,0,0,,,
20,Settlement,20,Settlement,-3.665407821,104.5722382,0,13,0,0,0,0,0.9048,1,0,0,0,0,0,13,1,23,0,0,0,0,,,
20,Settlement,20,Settlement,-3.665332016,104.5735091,0,15,0,0,0,0,0.9745,1,0,0,0,0,0,13,1,25,0,0,0,0,,,
20,Settlement,20,Settlement,-3.664752333,104.5707445,0,13,0,0,0,0,0.9796,1,0,0,0,0,0,13,1,21,0,0,0,0,,,
20,Settlement,20,Settlement,-3.588938697,104.5887592,0,10,0,0,0,0,0.9884,1,0,0,0,0,0,13,1,26,0,0,0,0,,,
20,Settlement,20,Settlement,-3.590138195,104.5886165,0,12,0,0,0,0,0.9080,1,0,0,0,0,0,13,1,22,0,0,0,0,,,
20,Settlement,20,Settlement,-3.588140517,104.5890178,0,12,0,0,0,0,0.9390,1,0,0,0,0,0,13,1,24,0,0,0,0,,,
20,Settlement,20,Settlement,-3.502989524,104.5997866,0,22,0,0,0,0,0.9619,1,0,0,0,0,0,13,1,19,0,0,0,0,,,
20,Settlement,20,Settlement,-3.4687793,104.638826,0,8,0,0,0,0,0.9334,1,0,0,0,0,0,13,1,25,0,0,0,0,,,
20,Settlement,20,Settlement,-3.468654446,104.6398962,0,11,0,0,0,0,0.9631,1,0,0,0,0,0,13,1,19,0,0,0,0,,,
20,Settlement,20,Settlement,-3.443518493,104.6713284,0,14,0,0,0,0,0.9042,1,0,0,0,0,0,23,1,24,0,0,0,0,,,
20,Settlement,20,Settlement,-3.388305904,104.5910021,0,9,0,0,0,0,0.9288,1,0,0,0,0,0,23,1,12,0,0,0,0,,,
20,Settlement,20,Settlement,-3.387110865,104.590962,0,7,0,0,0,0,0.9522,1,0,0,0,0,0,23,1,14,0,0,0,0,,,
20,Settlement,20,Settlement,-3.239247074,104.7099041,0,9,0,0,0,0,0.9657,1,0,0,0,0,0,21,1,11,0,0,0,0,,,
20,Settlement,20,Settlement,-3.211805766,104.625685,0,12,0,0,0,0,0.9355,1,0,0,0,0,0,21,1,15,0,0,0,0,,,
20,Settlement,20,Settlement,-3.268842127,104.6852274,1,10,6,0,0,0,0.9860,1,0,0,0,0,0,21,1,9,0,0,0,0,,,
20,Settlement,20,Settlement,-3.311167915,104.6774775,0,11,0,0,0,0,0.9568,1,0,0,0,0,0,21,1,12,0,0,0,0,,,
