class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
2,-3.729708058,104.5771789,Secondary Dryland Forest,0,41.0,4,1,0.0,0,0.0,0,0,0,0,0,11,0,21,0,0,0,0,0,,,
15,-3.544869401,104.3719176,Rubber agroforestry,1,38.0,11,0,0.0,0,0.0,0,0,0,0,0,13,0,24,0,1,0,0,1,,,1.0
18,-3.103030455,104.7083434,Grass or Savanna,0,21.0,0,0,0.900050541,1,0.0,0,1,0,0,0,21,0,4,0,0,0,0,0,,,
21,-3.512304586,104.4311032,Cleared Land,0,10.0,0,0,0.0,0,0.482680339,1,1,0,0,0,12,1,24,0,0,1,0,0,,,
21,-3.129851948,104.6986404,Cleared Land,0,18.0,0,0,0.28601529,0,0.0,0,1,0,0,0,13,0,3,0,0,0,0,0,,,
8,-3.472029985,104.5979316,Rubber monoculture,0,26.0,5,0,0.596711705,0,0.0,0,0,0,0,0,11,0,30,0,0,0,0,1,,,0.0
6,-3.567361107,104.5703743,Secondary Swamp Forest,1,39.0,7,0,0.0,0,0.0,0,0,0,25,0,11,0,15,0,0,0,0,0,,,
17,-3.106838527,104.7853209,Paddy Field,0,8.0,0,0,0.931402843,1,0.0,0,0,0,0,0,21,1,6,0,1,0,0,0,,,
20,-3.693616094,104.4674405,Settlement,0,13.0,0,0,0.0,0,0.9236,1,0,0,0,0,23,1,28,0,0,2,0,0,,,
21,-3.314637095,104.5599133,Cleared Land,0,10.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,23,0,1,0,0,0,,,
20,-3.339839934,104.7744184,Settlement,0,12.0,0,0,0.0,0,0.9594,1,0,0,0,0,23,1,20,0,0,2,0,0,,,
15,-3.36153792,104.7718856,Rubber agroforestry,1,42.0,13,0,0.0,0,0.0,0,0,0,0,0,21,0,18,0,1,0,0,0,,,1.0
8,-3.390325877,104.5794798,Rubber monoculture,0,21.0,0,0,0.775632524,0,0.0,0,0,0,0,0,23,0,27,0,0,0,0,1,,,0.0
2,-3.75152198,104.3727782,Secondary Dryland Forest,1,42.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,47,8,0,0,0,0,,,
13,-3.430154567,104.6535321,Other Cropland,0,10.0,0,0,0.948235702,1,0.393903172,0,0,0,0,0,11,1,24,0,1,1,0,0,,,
23,-3.661318825,104.542117,Waterbody,0,2.0,0,0,0.0,1,0.0,0,0,1,71,0,11,0,17,0,0,0,0,0,,,
9,-3.08668339,104.6965491,Oil palm monoculture,1,23.0,9,0,0.0,0,0.0,0,0,0,0,0,11,0,6,0,1,0,1,0,,,
18,-3.131381419,104.7101538,Grass or Savanna,0,15.0,0,0,0.936520128,0,0.0,0,0,0,0,0,11,0,4,0,0,0,0,0,,,
9,-3.095124469,104.7384869,Oil palm monoculture,0,18.0,0,0,0.302182333,1,0.0,0,1,0,0,0,12,0,5,0,1,0,0,0,,,
9,-3.153953389,104.6092889,Oil palm monoculture,1,18.0,8,0,0.0,0,0.0,0,0,0,0,0,11,0,10,2,1,0,0,0,,,
23,-3.229383542,104.7567068,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,91,0,12,0,7,0,0,0,0,0,,,
21,-3.487717103,104.5880814,Cleared Land,0,9.0,0,0,0.1083252,1,0.0,0,1,0,0,0,11,0,20,0,0,0,0,0,,,
6,-3.569501475,104.6252926,Secondary Swamp Forest,0,32.0,0,0,0.0,0,0.0,0,0,0,32,0,11,0,13,0,0,0,0,0,,,
23,-3.532379459,104.5330963,Waterbody,0,36.0,0,0,0.0,1,0.0,0,0,1,29,0,11,0,19,0,0,0,0,0,,,
18,-3.404661886,104.7145817,Grass or Savanna,0,8.0,0,0,0.903349163,1,0.597975689,0,0,0,0,0,11,1,19,0,1,1,0,0,,,
2,-3.570687596,104.3340331,Secondary Dryland Forest,1,65.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,48,0,0,0,0,0,,,
21,-3.381363083,104.687894,Cleared Land,0,13.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,20,0,1,0,0,0,,,
13,-3.232027789,104.673549,Other Cropland,0,13.0,0,0,0.917515714,1,0.0,0,1,0,0,0,21,0,5,0,0,0,0,1,,,
21,-3.114539395,104.7231387,Cleared Land,0,15.0,0,0,0.860990895,0,0.0,0,1,0,0,0,11,0,7,0,0,0,0,0,,,
20,-3.550376391,104.3742809,Settlement,0,18.0,5,0,0.0,0,0.9469,1,0,0,0,0,13,1,24,0,0,1,0,0,,,
23,-3.47984233,104.6376399,Waterbody,0,0.0,0,0,0.0,1,0.0,0,0,0,37,0,11,0,14,0,0,0,0,0,,,
20,-3.335224765,104.6543481,Settlement,0,15.0,0,0,0.0,0,0.9254,1,0,0,0,0,23,1,12,0,0,2,0,0,,,
15,-3.187954034,104.6625395,Rubber agroforestry,1,27.0,8,0,0.0,0,0.0,0,0,0,0,0,23,0,10,0,1,0,0,1,,,1.0
8,-3.33807413,104.7182515,Rubber monoculture,1,37.0,6,0,0.0,0,0.0,0,0,0,0,0,11,0,13,0,0,0,0,1,,,0.0
20,-3.744766442,104.5399767,Settlement,0,12.0,0,0,0.0,0,0.9172,1,0,0,0,0,13,1,20,0,0,1,0,0,,,
20,-3.297161878,104.6898337,Settlement,0,16.0,0,0,0.0,0,0.9245,1,0,0,0,0,21,1,12,0,0,1,0,0,,,
6,-3.260178094,104.6292256,Secondary Swamp Forest,1,32.0,12,0,0.0,0,0.0,0,0,0,14,0,11,0,11,7,0,0,0,1,,,
8,-3.156945446,104.5529125,Rubber monoculture,0,12.0,0,0,0.418370099,1,0.0,0,0,0,0,0,11,0,6,0,0,0,0,0,,,0.0
17,-3.367379343,104.8100064,Paddy Field,0,17.0,0,0,0.947048547,1,0.0,0,0,0,0,0,12,1,8,0,1,0,0,0,,,
15,-3.362839978,104.7691611,Rubber agroforestry,1,42.0,11,0,0.0,0,0.0,0,0,0,0,0,21,0,17,0,1,0,0,1,,,1.0
2,-3.630412795,104.570633,Secondary Dryland Forest,1,38.0,11,0,0.0,0,0.0,0,0,0,0,0,11,0,35,0,0,0,0,1,,,
23,-3.406124472,104.6627758,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,24,0,11,0,13,0,0,0,0,0,,,
8,-3.340499881,104.714546,Rubber monoculture,0,17.0,0,0,0.898038355,0,0.0,0,0,0,0,0,11,0,15,0,0,0,0,0,,,0.0
23,-3.295989135,104.745947,Waterbody,0,,0,0,0.0,1,0.0,0,0,2,90,0,21,0,8,0,0,0,0,0,,,
23,-3.144486717,104.7610946,Waterbody,0,,0,0,0.0,1,0.0,0,0,2,71,0,21,0,4,0,0,0,0,0,,,
2,-3.766344032,104.5022972,Secondary Dryland Forest,1,47.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,37,9,0,0,0,1,,,
6,-3.222908928,104.6427277,Secondary Swamp Forest,1,20.0,6,0,0.0,0,0.0,0,0,0,34,0,21,0,9,15,0,0,0,0,,,
8,-3.480306077,104.5933744,Rubber monoculture,0,23.0,3,1,0.0,0,0.0,0,0,0,0,0,11,0,34,0,0,0,0,0,,,0.0
17,-3.636031263,104.6118752,Paddy Field,0,11.0,0,0,0.913906367,1,0.0,0,0,0,10,0,11,1,12,0,1,0,0,0,,,
13,-3.359718607,104.69481,Other Cropland,0,11.0,0,0,0.903354056,1,0.638614379,0,0,0,0,0,11,1,19,0,1,1,0,0,,,
21,-3.467619934,104.4641318,Cleared Land,1,26.0,15,0,0.0,0,0.0,0,1,0,0,0,11,0,40,15,0,0,0,1,,,
15,-3.743544648,104.5390715,Rubber agroforestry,1,31.0,6,0,0.0,0,0.0,0,0,0,0,0,13,0,21,2,1,0,0,1,,,1.0
20,-3.312095408,104.676657,Settlement,0,13.0,0,0,0.0,0,0.9727,1,0,0,0,0,21,1,13,0,0,1,0,0,,,
17,-3.118053166,104.7964329,Paddy Field,0,6.0,0,0,0.946137099,1,0.0,0,0,0,10,0,21,1,4,0,1,0,0,0,,,
2,-3.736673174,104.3930181,Secondary Dryland Forest,1,39.0,12,0,0.0,0,0.0,0,0,0,0,0,11,0,39,6,0,0,0,1,,,
8,-3.380498018,104.7268442,Rubber monoculture,1,46.0,8,0,0.0,0,0.0,0,0,0,0,0,11,0,23,17,0,0,0,1,,,0.0
9,-3.656520832,104.4415331,Oil palm monoculture,1,45.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,36,0,1,0,1,0,,,
21,-3.423381193,104.5655897,Cleared Land,0,30.0,5,0,0.337154165,0,0.0,0,1,0,0,0,13,0,20,0,0,0,0,1,,,
